reference,topic,model,svris_status,svris_reference,field_title,field_authors,field_year,field_venue,field_id,candidate_title,candidate_authors,candidate_year,candidate_venue,candidate_doi,candidate_url,candidate_source,candidate_matches,candidate_contradictions,candidate_contains,candidate_absent,candidate_unconfirmed,cmp_title_citation,cmp_title_candidate,cmp_authors_citation,cmp_authors_candidate,cmp_year_citation,cmp_year_candidate,cmp_venue_citation,cmp_venue_candidate,cmp_id_citation,cmp_id_candidate,match_set_size,contained_set_size,total_candidates,sources_queried,processing_time_ms,svris_message,score,error_distance
"Baring‑Gould, E. I., & Green, H. (2015). The impacts of rural electrification on education and health: Evidence from Uganda. *Energy for Sustainable Development, 28*, 56–65. https://doi.org/10.1016/j.esd.2015.04.003",Rural electrification,minimax_m25_230b_a10b,needs-human,,CONTRADICTION,CONTRADICTION,MATCH,MATCH,MATCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.100,0.900
"Nfah, E. M., & Ngundam, J. M. (2012). A review of off‑grid renewable energy options for rural electrification in Sub‑Saharan Africa. *Renewable Energy, 45*, 137–150. https://doi.org/10.1016/j.renene.2012.01.045",Rural electrification,minimax_m25_230b_a10b,needs-human,,CONTRADICTION,CONTRADICTION,MATCH,MATCH,MATCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.100,0.900
"Groh, S., & von Gleich, A. (2014). Electricity access and rural development: Review of the literature. *Energy Policy, 73*, 190–197. https://doi.org/10.1016/j.enpol.2014.05.019",Rural electrification,minimax_m25_230b_a10b,needs-human,,CONTRADICTION,CONTRADICTION,MATCH,MATCH,MATCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.100,0.900
"Chaurey, A., & Kandpal, T. C. (2010). A comprehensive assessment of solar photovoltaic technologies for rural electrification. *Renewable and Sustainable Energy Reviews, 14*(2), 755–766. https://doi.org/10.1016/j.rser.2009.10.008",Rural electrification,minimax_m25_230b_a10b,needs-human,,CONTRADICTION,CONTRADICTION,CONTAINS,MATCH,MATCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.025,0.975
"Lehr, C. A., & Johnson, D. (2007). A model for preventing dropout in rural schools. The Rural Educator, 29(1), 22–34.",School dropout prevention programs in rural areas,minimax_m25_230b_a10b,unverified,,CONTRADICTION,UNCONFIRMED,UNCONFIRMED,UNCONFIRMED,ABSENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,1.000
"Somers, C. L., & Owens, D. (2009). A community approach to dropout prevention in rural high schools. Preventing School Failure, 53(4), 235–242.",School dropout prevention programs in rural areas,minimax_m25_230b_a10b,unverified,,CONTRADICTION,CONTAINS,MATCH,CONTRADICTION,ABSENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,1.000
"Jordan, L., & Miller, R. (2012). School dropout in rural America: The impact of school climate and family support. Education and Urban Society, 44(3), 345–363.",School dropout prevention programs in rural areas,minimax_m25_230b_a10b,unverified,,CONTRADICTION,UNCONFIRMED,UNCONFIRMED,UNCONFIRMED,ABSENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,1.000
"Balfanz, R., & Byrnes, V. (2012). The importance of being in school: A report on absenteeism in the nation’s public schools. Johns Hopkins Center for Social Organization of Schools.",School dropout prevention programs in rural areas,minimax_m25_230b_a10b,verified,,MATCH,MATCH,MATCH,MATCH,ABSENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.000,0.000
"Rumberger, R. W., & Lim, S. A. (2008). Why students drop out of school: A review of 25 years of research. California Dropout Research Project.",School dropout prevention programs in rural areas,minimax_m25_230b_a10b,verified,,MATCH,MATCH,MATCH,MATCH,ABSENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.000,0.000
"Davis, K., & Keene, B. (2011). Rural school dropout: A literature review. Journal of Research in Rural Education, 26(5), 1–15.",School dropout prevention programs in rural areas,minimax_m25_230b_a10b,unverified,,UNCONFIRMED,UNCONFIRMED,UNCONFIRMED,UNCONFIRMED,UNCONFIRMED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,1.000
"Zhang, Y., & Liu, J. (2013). Parental involvement and school dropout in rural China: An empirical study. International Journal of Educational Development, 33(4), 366–376.",School dropout prevention programs in rural areas,minimax_m25_230b_a10b,unverified,,CONTRADICTION,CONTRADICTION,CONTAINS,MATCH,ABSENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,1.000
"Freeman, J., & Berg, K. (2014). Evaluation of the Check & Connect program in rural schools. Journal of Education, 134(2), 271–284.",School dropout prevention programs in rural areas,minimax_m25_230b_a10b,unverified,,UNCONFIRMED,UNCONFIRMED,UNCONFIRMED,UNCONFIRMED,UNCONFIRMED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,1.000
"Hernandez, A. (2020). The impact of a school-based mentoring program on dropout rates in rural Appalachia (Doctoral dissertation). University of Kentucky.",School dropout prevention programs in rural areas,minimax_m25_230b_a10b,unverified,,CONTRADICTION,UNCONFIRMED,CONTRADICTION,UNCONFIRMED,ABSENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,1.000
"McNeal, R. B., & Durrah, T. (2015). Community partnerships for dropout prevention in rural schools. The Journal of Educational Research, 108(5), 389–403.",School dropout prevention programs in rural areas,minimax_m25_230b_a10b,unverified,,CONTRADICTION,CONTAINS,CONTRADICTION,CONTRADICTION,ABSENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,1.000
"Aldrich, J. H. (1993). Rational choice and turnout. American Journal of Political Science, 37(1), 246‑278.",Voter turnout,minimax_m25_230b_a10b,verified,,MATCH,MATCH,MATCH,MATCH,ABSENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.000,0.000
"Blais, A., & Daoust, J.-F. (2020). The composition of the electorate and the decline of turnout: Evidence from the 2015 Canadian election. Electoral Studies, 65, 102149.",Voter turnout,minimax_m25_230b_a10b,needs-human,,CONTRADICTION,CONTAINS,CONTAINS,MATCH,ABSENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.100,0.900
"Denny, K., & Doyle, O. (2008). Does political efficacy predict voter turnout? Evidence from the European Social Survey. Political Studies, 56(3), 585‑603.",Voter turnout,minimax_m25_230b_a10b,unverified,,CONTRADICTION,MATCH,CONTRADICTION,CONTRADICTION,ABSENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,1.000
"Fieldhouse, E., & Cutts, D. (2012). The effect of voter mobilisation on turnout: Evidence from the UK 2010 general election. Journal of Elections, Public Opinion and Parties, 22(2), 143‑158.",Voter turnout,minimax_m25_230b_a10b,unverified,,CONTRADICTION,CONTRADICTION,CONTRADICTION,CONTRADICTION,ABSENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,1.000
"Holbrook, T. M., & McClurg, S. D. (2005). The determinants of voter participation: A study of the American electorate. Political Research Quarterly, 58(1), 39‑48.",Voter turnout,minimax_m25_230b_a10b,unverified,,CONTRADICTION,CONTRADICTION,CONTRADICTION,MATCH,ABSENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,1.000
"Plutzer, E. (2002). Becoming a voter: Voter turnout among first‑time voters in the United States. American Political Science Review, 96(3), 575‑586.",Voter turnout,minimax_m25_230b_a10b,needs-human,,CONTRADICTION,MATCH,MATCH,MATCH,ABSENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.333,0.667
"De Rooij, E. A., & Green, D. P. (2012). Voter turnout and the role of social networks. Social Forces, 90(4), 1247‑1272.",Voter turnout,minimax_m25_230b_a10b,unverified,,CONTRADICTION,MATCH,MATCH,CONTRADICTION,ABSENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,1.000
"Smets, K., & Van Ham, C. (2013). The embarrassment of riches: A meta‑analysis of individual‑level research on voter turnout. Electoral Studies, 32(2), 344‑359.",Voter turnout,minimax_m25_230b_a10b,verified,,MATCH,MATCH,MATCH,MATCH,ABSENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.000,0.000
"Karp, J. A., & Banducci, S. A. (2008). When politics is down, turnout goes up: Economic conditions and voter participation. Political Research Quarterly, 61(2), 274‑286.",Voter turnout,minimax_m25_230b_a10b,unverified,,CONTRADICTION,MATCH,CONTAINS,CONTRADICTION,ABSENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,1.000
"McKee, S. C. (2014). The effect of early voting on voter turnout in the United States (Doctoral dissertation). University of Michigan.",Voter turnout,minimax_m25_230b_a10b,unverified,,CONTRADICTION,MATCH,UNCONFIRMED,UNCONFIRMED,ABSENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,1.000
IPCC. (2021). Climate change 2021: The physical science basis. Cambridge University Press.,Energy,minimax_m25_230b_a10b,verified-with-error,,MATCH,MATCH,CONTRADICTION,CONTAINS,ABSENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.500,0.500
International Energy Agency. (2022). World energy outlook 2022. IEA.,Energy,minimax_m25_230b_a10b,verified,,MATCH,MATCH,MATCH,MATCH,ABSENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.000,0.000
"Ellabban, O., Abu‑Rub, H., & Blaabjerg, F. (2014). Renewable energy resources: Current status, future prospects and their enabling technology. Renewable and Sustainable Energy Reviews, 39, 748‑764.",Energy,minimax_m25_230b_a10b,verified,,MATCH,MATCH,MATCH,MATCH,ABSENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.000,0.000
"Dincer, I. (2000). Renewable energy and sustainable development: A review. Renewable and Sustainable Energy Reviews, 4(2), 157‑175.",Energy,minimax_m25_230b_a10b,verified,,MATCH,MATCH,MATCH,MATCH,ABSENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.000,0.000
"Zhang, Y., & Smith, S. J. (2019). Recent advances in energy storage technologies. Energy, 171, 1115‑1128.",Energy,minimax_m25_230b_a10b,unverified,,CONTRADICTION,CONTRADICTION,MATCH,CONTRADICTION,ABSENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,1.000
Lazard. (2020). Levelized cost of energy analysis 2020. Lazard.,Energy,minimax_m25_230b_a10b,verified-with-error,,CONTAINS,MATCH,MATCH,MATCH,ABSENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.833,0.167
"Liu, X., & Wang, P. (2019). Integration of renewable energy into power systems: A review. In 2019 IEEE Power & Energy Society General Meeting (PESGM) (pp. 1‑5). IEEE.",Energy,minimax_m25_230b_a10b,unverified,,CONTRADICTION,CONTRADICTION,CONTRADICTION,CONTRADICTION,ABSENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,1.000
"Ackland, K. (2017). Solar photovoltaic technologies and their market potential (Doctoral dissertation). University of Queensland.",Energy,minimax_m25_230b_a10b,unverified,,CONTRADICTION,CONTRADICTION,MATCH,CONTRADICTION,ABSENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,1.000
"Wang, L., & Chen, Y. (2021). Integration of renewable energy sources into power grids: Challenges and solutions. Electric Power Systems Research, 190, 106636.",Energy,minimax_m25_230b_a10b,unverified,,CONTRADICTION,CONTRADICTION,CONTAINS,CONTRADICTION,ABSENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,1.000
"Zhou, X., & Lin, M. (2020). Wind turbine design and optimization: A review. Renewable Energy, 156, 763‑777.",Energy,minimax_m25_230b_a10b,unverified,,CONTRADICTION,CONTRADICTION,CONTAINS,CONTRADICTION,ABSENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,1.000
"Filmer, D., & Schady, N. (2009). Getting girls into school: The effect of a conditional cash transfer program in Cambodia (World Bank Policy Research Working Paper No. 5119). World Bank.",Girls education,minimax_m25_230b_a10b,needs-human,,CONTRADICTION,CONTAINS,CONTAINS,MATCH,ABSENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.100,0.900
World Bank. (2018). Girls’ education: The power of investing in education for girls. World Bank Group.,Girls education,minimax_m25_230b_a10b,unverified,,CONTRADICTION,MATCH,UNCONFIRMED,CONTAINS,ABSENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.033,0.967
UNESCO. (2020). Global Education Monitoring Report 2020: Girls’ education. UNESCO Publishing.,Girls education,minimax_m25_230b_a10b,verified-with-error,,CONTAINS,MATCH,MATCH,MATCH,ABSENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.833,0.167
UNICEF. (2021). Girls’ education: Accelerating progress for gender equality. UNICEF.,Girls education,minimax_m25_230b_a10b,verified-with-error,,CONTAINS,MATCH,UNCONFIRMED,MATCH,ABSENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.633,0.367
"Kabeer, N., & Hossain, L. (2012). Can demand‑side interventions reduce gender disparity in primary schooling? Evidence from Bangladesh’s Female Secondary School Stipend Programme. Journal of Development Studies, 48(10), 1503–1520. https://doi.org/10.1080/00220388.2012.700391",Girls education,minimax_m25_230b_a10b,unverified,,UNCONFIRMED,UNCONFIRMED,UNCONFIRMED,UNCONFIRMED,UNCONFIRMED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,1.000
"Glewwe, P., & A. (2014). The impact of school construction on gender equality in education: Evidence from rural Ethiopia. Journal of Education for Development, 28(3), 215–230.",Girls education,minimax_m25_230b_a10b,unverified,,CONTRADICTION,MATCH,CONTRADICTION,UNCONFIRMED,ABSENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,1.000
"Lopez, S., & Nguyen, T. (2017). Conditional cash transfers and gender: Evidence from Nicaragua’s Red de Protección Social. Journal of Development Economics, 121, 85–99. https://doi.org/10.1016/j.jdeveco.2016.10.004",Girls education,minimax_m25_230b_a10b,needs-human,,CONTRADICTION,CONTRADICTION,CONTAINS,MATCH,MATCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.025,0.975
"Mkandawire, E., & Phiri, M. (2018). School‑related gender‑based violence and its impact on girls’ school attendance in sub‑Saharan Africa. International Journal of Educational Development, 55, 43–55. https://doi.org/10.1016/j.ijedudev.2017.09.005",Girls education,minimax_m25_230b_a10b,needs-human,,CONTRADICTION,CONTRADICTION,CONTAINS,MATCH,MATCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.025,0.975
"Aker, J. C., & Ksoll, C. (2019). Mobile phone‑enabled learning and girls’ educational outcomes in Kenya: A randomized controlled trial. Computers & Education, 118, 55–66. https://doi.org/10.1016/j.compedu.2018.01.015",Girls education,minimax_m25_230b_a10b,needs-human,,CONTRADICTION,CONTRADICTION,CONTAINS,MATCH,MATCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.025,0.975
"Mushi, D. (2020). Barriers to secondary school completion for girls in rural Tanzania: A case study (Doctoral dissertation). University of Dar es Salaam.",Girls education,minimax_m25_230b_a10b,unverified,,CONTRADICTION,UNCONFIRMED,UNCONFIRMED,UNCONFIRMED,ABSENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,1.000
World Health Organization. (2022). World malaria report 2022. World Health Organization.,Malaria prevention,minimax_m25_230b_a10b,verified,,MATCH,MATCH,MATCH,MATCH,ABSENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.000,0.000
"Lengeler, C. (2004). Insecticide‑treated nets: a meta‑analysis of their efficacy in preventing malaria. Malaria Journal, 3, 10.",Malaria prevention,minimax_m25_230b_a10b,verified-with-error,,CONTAINS,MATCH,MATCH,UNCONFIRMED,ABSENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.633,0.367
"van den Berg, H., et al. (2012). Global trends in the use of indoor residual spraying for malaria control. Malaria Journal, 11, 291.",Malaria prevention,minimax_m25_230b_a10b,unverified,,CONTRADICTION,MATCH,MATCH,CONTRADICTION,ABSENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,1.000
"RTS,S Clinical Trials Partnership. (2015). Efficacy of the RTS,S/AS01 malaria vaccine in African children. The Lancet, 386(9987), 31–45.",Malaria prevention,minimax_m25_230b_a10b,verified-with-error,,CONTAINS,MATCH,MATCH,MATCH,ABSENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.833,0.167
"Gosling, R., et al. (2009). Intermittent preventive treatment for malaria in pregnancy: a systematic review. Malaria Journal, 8, 167.",Malaria prevention,minimax_m25_230b_a10b,unverified,,CONTRADICTION,MATCH,MATCH,CONTRADICTION,ABSENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,1.000
"Tusting, L. S., et al. (2015). Housing improvements for malaria control: a systematic review. Malaria Journal, 14, 274.",Malaria prevention,minimax_m25_230b_a10b,verified-with-error,,CONTAINS,MATCH,MATCH,MATCH,ABSENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.833,0.167
"Hall, Z., et al. (2019). Mass drug administration for malaria elimination: a systematic review. Malaria Journal, 18, 259.",Malaria prevention,minimax_m25_230b_a10b,unverified,,CONTRADICTION,CONTRADICTION,CONTRADICTION,CONTRADICTION,ABSENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,1.000
"Killeen, G. F., et al. (2017). Ivermectin mass drug administration for malaria control. Parasites & Vectors, 10, 233.",Malaria prevention,minimax_m25_230b_a10b,needs-human,,CONTAINS,UNCONFIRMED,MATCH,CONTAINS,ABSENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.467,0.533
World Health Organization. (2018). Global plan for insecticide resistance management in malaria vectors (2nd ed.). World Health Organization.,Malaria prevention,minimax_m25_230b_a10b,needs-human,,CONTAINS,MATCH,CONTRADICTION,MATCH,ABSENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.433,0.567
"Rumberger, R. W. (2001). Why students drop out of school. *Harvard Educational Review, 71*(3), 399–424.",School dropout,minimax_m25_230b_a10b,verified-with-error,,MATCH,MATCH,CONTRADICTION,CONTRADICTION,ABSENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.200,0.800
"Finn, J. D. (1989). Withdrawing from school. *Review of Educational Research, 59*(2), 117–142.",School dropout,minimax_m25_230b_a10b,verified,,MATCH,MATCH,MATCH,MATCH,ABSENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.000,0.000
"Christenson, S. L., Sinclair, M. F., & Thurlow, M. L. (2000). School dropouts: Prevention, identification, and intervention. *Exceptionality, 8*(2), 85–103.",School dropout,minimax_m25_230b_a10b,unverified,,UNCONFIRMED,UNCONFIRMED,UNCONFIRMED,UNCONFIRMED,UNCONFIRMED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,1.000
"Ensminger, M. E., & Slusarcick, A. L. (1992). Path to high school graduation or dropout: A longitudinal study of a first‑grade cohort. *Sociology of Education, 65*(2), 95–113.",School dropout,minimax_m25_230b_a10b,verified-with-error,,CONTAINS,MATCH,MATCH,MATCH,ABSENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.833,0.167
"McNeal, R. B. (1999). Parental involvement as social capital: Differential effects on high school dropouts. *Social Forces, 78*(3), 1173–1200.",School dropout,minimax_m25_230b_a10b,verified-with-error,,CONTAINS,MATCH,MATCH,MATCH,ABSENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.833,0.167
"Balfanz, R., & Herzog, L. (2007). Keeping middle grades students on track to graduation: Identifying early warning indicators. *Middle School Journal, 39*(2), 13–21.",School dropout,minimax_m25_230b_a10b,needs-human,,CONTAINS,CONTAINS,UNCONFIRMED,CONTAINS,ABSENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.400,0.600
"Rumberger, R. W., & Lim, L. (2008). *Why students drop out of school: A review of 25 years of research*. California Dropout Research Project, University of California, Santa Barbara.",School dropout,minimax_m25_230b_a10b,verified,,MATCH,MATCH,MATCH,UNCONFIRMED,ABSENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.800,0.200
"Garry, E. M. (1996). *School dropouts: New approaches to an enduring problem* (ERIC Digest No. ED394891). ERIC.",School dropout,minimax_m25_230b_a10b,unverified,,CONTRADICTION,CONTRADICTION,CONTRADICTION,MATCH,ABSENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,1.000
"Vitaro, F., Brendgen, M., Larose, S., & Tremblay, R. E. (2005). Kindergarten disruptive behaviors, protective factors, and educational achievement by early adulthood. *Journal of Educational Psychology, 97*(4), 617–629.",School dropout,minimax_m25_230b_a10b,verified,,MATCH,MATCH,MATCH,MATCH,ABSENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.000,0.000
"Lee, V. E., & Burkam, D. T. (2003). *Dropout rates in the United States: 2000* (NCES 2003‑038). National Center for Education Statistics, U.S. Department of Education.",School dropout,minimax_m25_230b_a10b,verified-with-error,,MATCH,CONTAINS,CONTRADICTION,MATCH,ABSENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.467,0.533
"Mishra, P., & Koehler, M. J. (2006). Technological pedagogical content knowledge: A framework for teacher knowledge. Teachers College Record, 108(6), 1017–1054.",Education,minimax_m25_230b_a10b,verified,,MATCH,MATCH,MATCH,MATCH,ABSENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.000,0.000
"Tamim, R. M., Bernard, R. M., Borokhovski, E., Abrami, P. C., & Schmid, R. F. (2011). What forty years of research says about the impact of technology on learning: A second‑order meta‑analysis and validation study. Review of Educational Research, 81(1), 4–28.",Education,minimax_m25_230b_a10b,verified,,MATCH,MATCH,MATCH,MATCH,ABSENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.000,0.000
"Johnson, N., & Brown, S. (2019). The impact of flipped classroom on student achievement in higher education. Journal of Educational Technology & Society, 22(1), 14–26.",Education,minimax_m25_230b_a10b,needs-human,,CONTAINS,CONTAINS,CONTAINS,CONTRADICTION,ABSENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.200,0.800
"An, J., & Chen, L. (2020). The effect of gamified learning on student motivation and achievement: A meta‑analysis. Computers & Education, 154, 103–119.",Education,minimax_m25_230b_a10b,unverified,,CONTRADICTION,CONTRADICTION,CONTAINS,CONTRADICTION,ABSENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,1.000
"Means, T. L., Toyama, Y., Murphy, R., & Bakia, M. (2013). The effectiveness of online and blended learning: A meta‑analysis. Teachers College Record, 115(3), 1–47.",Education,minimax_m25_230b_a10b,verified-with-error,,CONTAINS,MATCH,MATCH,MATCH,ABSENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.833,0.167
"Zawacki‑Richter, O., Marín, V. I., Bond, M., & Gouverneur, F. (2021). Systematic review of research on artificial intelligence in higher education. International Journal of Educational Technology in Higher Education, 18(1), 39. https://doi.org/10.1186/s41239-021-00288-9",Education,minimax_m25_230b_a10b,unverified,,CONTAINS,MATCH,CONTRADICTION,CONTRADICTION,UNCONFIRMED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.025,0.975
"Dede, C. (2009). Immersive interfaces for engagement and learning. Science, 323(5910), 66–69. https://doi.org/10.1126/science.1167946",Education,minimax_m25_230b_a10b,verified-with-error,,MATCH,MATCH,MATCH,MATCH,CONTRADICTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.500,0.500
"Redish, E. F., & Smith, K. A. (2008). Looking beyond content: The skill of doing science. In AIP Conference Proceedings (Vol. 951, pp. 115–118). American Institute of Physics.",Education,minimax_m25_230b_a10b,verified-with-error,,CONTAINS,MATCH,MATCH,CONTAINS,ABSENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.733,0.267
UNESCO. (2017). Global Education Monitoring Report 2017/8: Accountability in education: Meeting our commitments. UNESCO Publishing.,Education,minimax_m25_230b_a10b,verified,,MATCH,MATCH,MATCH,CONTAINS,ABSENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.900,0.100
"Bork, R. (2018). Learning analytics in higher education: A multi‑institutional perspective (Doctoral dissertation). University of Michigan.",Education,minimax_m25_230b_a10b,unverified,,CONTRADICTION,CONTRADICTION,CONTRADICTION,CONTRADICTION,ABSENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,1.000
"Vitousek, P. M., et al. (1997). Human domination of Earth’s ecosystems. Science, 277(5325), 494–499.",Environmental Science,minimax_m25_230b_a10b,verified,,MATCH,MATCH,MATCH,MATCH,ABSENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.000,0.000
"Rockström, J., et al. (2009). A safe operating space for humanity. Nature, 461(7263), 472–475.",Environmental Science,minimax_m25_230b_a10b,verified,,MATCH,MATCH,MATCH,MATCH,ABSENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.000,0.000
"Tilman, D., et al. (2001). Forecasting agriculturally driven global environmental change. Science, 292(5515), 281–284.",Environmental Science,minimax_m25_230b_a10b,verified,,MATCH,MATCH,MATCH,MATCH,ABSENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.000,0.000
"Cardinale, B. J., et al. (2012). Biodiversity loss and its impact on humanity. Nature, 486(7401), 59–67.",Environmental Science,minimax_m25_230b_a10b,verified,,MATCH,MATCH,MATCH,MATCH,ABSENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.000,0.000
"Briët, O. J. T., et al. (2015). Larval source management for malaria control: a systematic review. Parasites & Vectors, 8, 388.",Malaria prevention,minimax_m25_230b_a10b,unverified,,CONTRADICTION,MATCH,CONTRADICTION,CONTAINS,ABSENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,1.000
"Schlesinger, W. H. (2009). On the fate of anthropogenic carbon. Proceedings of the National Academy of Sciences, 106(1), 214–219.",Environmental Science,minimax_m25_230b_a10b,unverified,,CONTRADICTION,MATCH,CONTRADICTION,CONTRADICTION,ABSENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,1.000
Intergovernmental Science‑Policy Platform on Biodiversity and Ecosystem Services (IPBES). (2019). Global assessment report on biodiversity and ecosystem services. IPBES Secretariat.,Environmental Science,minimax_m25_230b_a10b,needs-human,,CONTAINS,MATCH,MATCH,CONTRADICTION,ABSENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.433,0.567
"Naeem, S., et al. (1999). Biodiversity and ecosystem functioning: Recent empirical evidence. In S. Naeem, et al. (Eds.), The functional role of biodiversity (pp. 3‑13). Springer.",Environmental Science,minimax_m25_230b_a10b,unverified,,CONTRADICTION,MATCH,CONTRADICTION,CONTRADICTION,ABSENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,1.000
"Carpenter, S. R., et al. (2006). Ecosystem vulnerability to climate change. Ecology Letters, 9(9), 1060–1070.",Environmental Science,minimax_m25_230b_a10b,unverified,,CONTRADICTION,CONTRADICTION,CONTAINS,CONTAINS,ABSENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,1.000
"Newman, M. E. (2020). The impact of microplastic pollution on freshwater ecosystems (Doctoral dissertation). University of Michigan.",Environmental Science,minimax_m25_230b_a10b,unverified,,CONTRADICTION,CONTRADICTION,CONTAINS,CONTRADICTION,ABSENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,1.000
